Id,Date,Polarity,Polarity_Variance,Subjectivity,Subjectivity_Variance,Crop_Name
1426,03-05-2019,0.03,,0.34,,rice
1432,03-04-2019,0.17,0.01,0.57,0.16,rice
1433,03-04-2019,0.0,,0.25,,rice
1435,03-04-2019,0.25,0.04,0.4,0.0,rice
1436,03-04-2019,-0.05,0.0,0.27,0.0,rice
1438,03-01-2019,0.46,0.08,0.75,0.08,rice
1439,03-01-2019,0.1,0.01,0.25,0.03,rice
1441,2/28/2019,0.0,0.0,0.07,0.0,rice
1446,2/27/2019,0.05,,0.2,,rice
1449,2/26/2019,0.0,,0.0,,rice
1452,2/22/2019,0.4,,0.95,,rice
1455,2/21/2019,-0.18,,0.26,,rice
1457,2/20/2019,0.0,,0.3,,rice
1462,2/19/2019,0.25,,0.45,,rice
1463,2/19/2019,0.14,0.01,0.46,0.01,rice
1465,2/18/2019,0.07,0.0,0.3,0.01,rice
1466,2/15/2019,0.4,0.03,0.9,0.11,rice
1470,2/13/2019,-0.05,0.0,0.33,0.01,rice
1471,02-12-2019,0.0,,0.0,,rice
1475,02-11-2019,-0.01,,0.28,,rice
1476,02-08-2019,0.14,0.01,0.27,0.04,rice
1477,02-08-2019,0.6,0.13,0.95,0.2,rice
1478,02-08-2019,0.0,0.0,0.3,0.04,rice
1480,02-07-2019,0.3,0.02,0.57,0.03,rice
1485,02-06-2019,-0.04,0.0,0.28,0.01,rice
1486,02-05-2019,0.2,,0.34,,rice
1487,02-05-2019,0.03,,0.38,,rice
1489,02-04-2019,0.11,0.01,0.45,0.1,rice
1490,02-04-2019,-0.02,0.0,0.27,0.0,rice
1493,02-01-2019,0.3,,0.0,,rice
1497,1/31/2019,0.0,0.0,0.0,0.0,rice
1499,1/30/2019,0.0,,0.0,,rice
1502,1/29/2019,-0.25,0.04,0.48,0.01,rice
1508,1/26/2019,0.23,0.02,0.37,0.02,rice
1509,1/25/2019,0.15,,0.41,,rice
1521,1/23/2019,0.0,,0.07,,rice
1522,1/22/2019,0.21,,0.42,,rice
1525,1/22/2019,-0.08,,0.1,,rice
1528,1/18/2019,0.4,0.03,0.7,0.01,rice
1530,1/18/2019,0.1,0.01,0.41,0.08,rice
1536,1/16/2019,-0.07,,0.57,,rice
1537,1/16/2019,-0.22,0.04,0.5,0.02,rice
1541,1/15/2019,1.0,0.78,0.3,0.0,rice
1545,1/14/2019,0.0,,0.3,,rice
1547,01-11-2019,0.08,,0.35,,rice
1554,01-08-2019,0.09,,0.44,,rice
1556,01-08-2019,-0.07,,0.16,,rice
1559,01-07-2019,-0.2,0.02,0.47,0.01,rice
1561,01-07-2019,-0.1,,0.3,,rice
1565,01-04-2019,0.23,0.01,0.48,0.0,rice
1571,01-02-2019,0.0,,0.0,,rice
1572,01-02-2019,0.05,0.0,0.7,0.12,rice
1575,01-01-2019,0.37,,0.3,,rice
1579,12/31/2018,0.0,0.0,0.0,0.0,rice
1582,12/28/2018,0.0,0.0,0.0,0.0,rice
1584,12/27/2018,0.39,0.03,0.58,0.06,rice
1585,12/27/2018,-0.03,,0.24,,rice
1587,12/26/2018,0.05,,0.41,,rice
1588,12/24/2018,0.09,0.0,0.29,0.0,rice
1591,12/21/2018,0.17,,0.34,,rice
1593,12/20/2018,0.07,,0.38,,rice
1598,12/19/2018,0.1,,0.4,,rice
1599,12/19/2018,0.5,0.05,0.5,0.06,rice
1603,12/17/2018,0.0,,0.0,,rice
1604,12/17/2018,0.19,,0.39,,rice
1606,12/17/2018,0.02,0.0,0.27,0.0,rice
1607,12/17/2018,0.0,,0.0,,rice
1608,12/14/2018,0.47,0.06,0.47,0.06,rice
1611,12/14/2018,0.0,,0.0,,rice
1612,12/14/2018,0.7,0.24,0.9,0.18,rice
1616,12/13/2018,0.25,0.04,0.62,0.08,rice
1617,12/13/2018,-0.15,0.01,0.7,0.08,rice
1618,12/13/2018,0.17,0.0,0.62,0.02,rice
1619,12-12-2018,0.0,0.0,0.18,0.02,rice
1620,12-12-2018,0.15,0.0,0.5,0.01,rice
1621,12-11-2018,0.29,0.01,0.54,0.07,rice
1623,12-11-2018,0.12,,0.67,,rice
1624,12-11-2018,-0.05,0.0,0.3,0.0,rice
1625,12-10-2018,-0.8,,1.0,,rice
1626,12-10-2018,0.2,,0.53,,rice
1628,12-07-2018,0.16,,0.54,,rice
1629,12-07-2018,0.13,,0.27,,rice
1630,12-06-2018,0.2,0.02,0.45,0.0,rice
1633,12-05-2018,0.18,0.02,0.4,0.0,rice
1634,12-04-2018,-0.04,0.0,0.3,0.0,rice
1640,12-03-2018,0.12,0.01,0.3,0.0,rice
1641,11/30/2018,0.0,0.0,0.15,0.01,rice
1642,11/30/2018,0.03,,0.42,,rice
1644,11/29/2018,0.16,0.01,0.54,0.08,rice
1645,11/29/2018,0.25,0.01,0.33,0.0,rice
1646,11/29/2018,0.0,0.0,0.0,0.0,rice
1649,11/27/2018,0.43,0.03,0.62,0.07,rice
1650,11/27/2018,0.7,0.1,0.9,0.07,rice
1652,11/26/2018,-0.08,0.0,0.35,0.0,rice
1655,11/26/2018,0.07,,0.41,,rice
1658,11/21/2018,0.43,0.02,0.73,0.06,rice
1665,11/19/2018,0.05,0.0,0.29,0.0,rice
1668,11/16/2018,0.08,0.0,0.52,0.08,rice
1672,11/15/2018,0.7,0.12,0.9,0.18,rice
1677,11/14/2018,-0.25,,0.3,,rice
1681,11/13/2018,-0.1,0.0,0.53,0.07,rice
1682,11/13/2018,-0.11,,0.58,,rice
1684,11-12-2018,0.12,0.0,0.36,0.0,rice
1686,11-12-2018,-0.05,0.0,0.35,0.01,rice
1687,11-09-2018,0.03,0.0,0.26,0.03,rice
1689,11-09-2018,0.25,,0.5,,rice
1691,11-08-2018,-0.07,,0.42,,rice
1692,11-08-2018,-0.05,,0.53,,rice
1696,11-07-2018,0.0,,0.05,,rice
1697,11-07-2018,0.33,0.02,0.62,0.08,rice
1698,11-06-2018,0.25,0.01,0.63,0.01,rice
1700,11-06-2018,-0.08,,0.35,,rice
1704,11-05-2018,-0.08,0.0,0.33,0.01,rice
1706,11-02-2018,0.5,,0.5,,rice
1707,11-02-2018,0.8,0.38,0.75,0.06,rice
1714,10/31/2018,0.5,,0.9,,rice
1716,10/31/2018,0.01,,0.24,,rice
1717,10/31/2018,0.16,,0.52,,rice
1720,10/29/2018,-0.13,,0.59,,rice
1724,10/29/2018,-0.05,0.0,0.41,0.0,rice
1725,10/29/2018,0.6,0.1,0.95,0.11,rice
1726,10/26/2018,0.47,0.06,0.4,0.0,rice
1727,10/26/2018,0.12,,0.39,,rice
1728,10/26/2018,0.0,,0.5,,rice
1730,10/25/2018,0.12,,0.4,,rice
1731,10/24/2018,0.7,,0.6,,rice
1732,10/24/2018,0.0,,0.4,,rice
1735,10/23/2018,-1.0,0.5,1.0,0.39,rice
1739,10/22/2018,0.29,0.03,0.54,0.01,rice
1740,10/22/2018,1.0,0.12,0.5,0.03,rice
1741,10/22/2018,0.07,0.0,0.25,0.0,rice
1742,10/19/2018,-0.21,,0.31,,rice
1746,10/18/2018,0.08,,0.33,,rice
1754,10/15/2018,0.12,0.01,0.43,0.02,rice
1756,10-12-2018,0.47,0.11,0.5,0.12,rice
1763,10-09-2018,0.21,0.01,0.5,0.02,rice
1764,10-09-2018,0.38,0.04,0.61,0.04,rice
1767,10-08-2018,-0.11,0.0,0.29,0.01,rice
1770,10-05-2018,0.12,,0.25,,rice
1772,10-04-2018,0.02,,0.27,,rice
1777,10-02-2018,0.03,,0.39,,rice
1778,10-02-2018,0.33,0.03,0.58,0.01,rice
1780,10-01-2018,0.2,,0.63,,rice
1782,9/28/2018,0.25,0.08,0.5,0.0,rice
1784,9/28/2018,0.52,,0.69,,rice
1785,9/27/2018,0.25,0.02,0.45,0.01,rice
1787,9/26/2018,0.0,,0.0,,rice
1789,9/26/2018,0.09,,0.35,,rice
1794,9/24/2018,0.07,0.0,0.27,0.0,rice
1797,9/21/2018,0.24,,0.48,,rice
1798,9/21/2018,0.28,0.05,0.34,0.0,rice
1802,9/19/2018,0.32,,0.51,,rice
1805,9/17/2018,0.01,0.0,0.27,0.0,rice
1806,9/14/2018,0.29,0.02,0.53,0.09,rice
1809,9/14/2018,0.24,0.03,0.66,0.22,rice
1811,9/13/2018,0.5,,0.5,,rice
1812,9/13/2018,-0.2,,0.6,,rice
1813,09-12-2018,0.2,0.01,0.32,0.03,rice
1817,09-11-2018,-0.12,,0.43,,rice
1818,09-10-2018,-0.25,,0.4,,rice
1819,09-10-2018,0.15,0.01,0.32,0.01,rice
1822,09-07-2018,0.7,0.22,0.66,0.0,rice
1824,09-07-2018,0.0,,0.0,,rice
1827,09-06-2018,-0.19,0.02,0.58,0.05,rice
1829,09-05-2018,-0.06,0.0,0.5,0.04,rice
1831,09-04-2018,0.15,0.01,0.35,0.06,rice
1832,09-04-2018,-0.17,0.0,0.56,0.06,rice
1833,09-04-2018,-0.13,,0.11,,rice
1836,09-03-2018,-0.05,0.0,0.32,0.01,rice
1838,8/31/2018,0.08,0.0,0.52,0.01,rice
1851,8/28/2018,-0.17,0.01,0.3,0.01,rice
1853,8/27/2018,-0.1,0.0,0.62,0.05,rice
1855,8/27/2018,-0.08,,0.46,,rice
1857,8/27/2018,-0.01,0.0,0.36,0.03,rice
1858,8/24/2018,-0.17,,0.25,,rice
1868,8/21/2018,-0.8,0.22,1.0,0.18,rice
1869,8/21/2018,0.0,,0.24,,rice
1872,8/20/2018,-0.01,0.0,0.33,0.01,rice
1873,8/17/2018,0.05,,0.31,,rice
1881,8/14/2018,-0.2,,0.4,,rice
1882,8/14/2018,-0.8,0.14,1.0,0.17,rice
1883,8/14/2018,0.0,,0.0,,rice
1884,8/13/2018,-0.06,,0.52,,rice
1887,8/13/2018,0.3,0.03,0.73,0.07,rice
1888,8/13/2018,0.37,0.03,0.52,0.06,rice
1889,8/13/2018,-0.12,0.0,0.31,0.0,rice
1890,08-10-2018,0.02,,0.4,,rice
1893,08-09-2018,0.07,,0.53,,rice
1894,08-09-2018,0.12,,0.31,,rice
1897,08-08-2018,0.29,,0.48,,rice
1898,08-07-2018,-0.02,,0.61,,rice
1899,08-07-2018,0.01,,0.54,,rice
1900,08-07-2018,-0.17,,0.07,,rice
1903,08-06-2018,-0.15,,0.4,,rice
1906,08-06-2018,-0.03,0.0,0.47,0.11,rice
1907,08-06-2018,-0.02,0.0,0.3,0.01,rice
1909,08-03-2018,0.1,,0.38,,rice
1911,08-02-2018,0.25,0.02,0.55,0.06,rice
1914,08-01-2018,0.02,,0.45,,rice
1915,08-01-2018,0.0,,0.3,,rice
1916,08-01-2018,0.24,0.01,0.46,0.01,rice
1919,7/30/2018,0.0,0.0,0.0,0.0,rice
1923,7/30/2018,0.06,0.0,0.38,0.01,rice
1925,7/27/2018,-0.53,0.14,0.7,0.04,rice
1931,7/26/2018,0.3,0.03,0.5,0.01,rice
1932,7/26/2018,0.13,,0.29,,rice
1933,7/25/2018,0.06,0.0,0.5,0.0,rice
1935,7/24/2018,0.0,0.0,0.5,0.06,rice
1937,7/24/2018,0.0,,0.0,,rice
1938,7/24/2018,0.21,,0.48,,rice
1940,7/23/2018,0.36,0.03,0.56,0.09,rice
1941,7/23/2018,0.85,0.17,0.8,0.08,rice
1943,7/23/2018,0.19,0.01,0.48,0.01,rice
1947,7/20/2018,0.28,,0.21,,rice
1948,7/20/2018,0.8,,0.4,,rice
1949,7/20/2018,0.19,,0.45,,rice
1951,7/19/2018,0.07,0.01,0.39,0.0,rice
1953,7/18/2018,0.0,,0.0,,rice
1954,7/18/2018,0.28,0.0,0.64,0.01,rice
1963,7/16/2018,-0.04,0.0,0.36,0.01,rice
1965,7/13/2018,-0.5,0.09,1.0,0.11,rice
1966,7/13/2018,0.25,,0.5,,rice
1967,07-12-2018,-0.29,0.05,0.54,0.08,rice
1969,07-12-2018,0.45,,0.5,,rice
1970,07-12-2018,0.06,0.0,0.44,0.1,rice
1971,07-12-2018,0.06,0.0,0.44,0.1,rice
1972,07-11-2018,-0.18,0.03,0.87,0.18,rice
1976,07-10-2018,0.04,0.0,0.24,0.0,rice
1978,07-09-2018,1.0,0.12,0.57,0.05,rice
1979,07-09-2018,0.0,,0.24,,rice
1980,07-09-2018,0.5,0.04,0.5,0.05,rice
1981,07-09-2018,0.31,,0.3,,rice
1983,07-06-2018,-0.17,0.03,0.57,0.02,rice
1984,07-06-2018,0.25,0.01,0.41,0.01,rice
1985,07-06-2018,0.28,,0.34,,rice
1987,07-05-2018,0.02,,0.37,,rice
1990,07-05-2018,0.3,,0.75,,rice
1991,07-05-2018,0.0,,0.0,,rice
1998,07-02-2018,0.16,,0.54,,rice
2001,6/29/2018,0.03,,0.6,,rice
2002,6/29/2018,-0.12,0.0,0.64,0.12,rice
2004,6/28/2018,0.0,,0.3,,rice
2005,6/27/2018,-0.08,0.0,0.17,0.0,rice
2006,6/27/2018,0.08,0.0,0.52,0.01,rice
2008,6/27/2018,0.3,0.03,0.57,0.01,rice
2009,6/26/2018,0.33,,0.4,,rice
2012,6/25/2018,0.68,0.14,0.55,0.0,rice
2013,6/25/2018,-0.08,,0.17,,rice
2014,6/25/2018,0.14,0.01,0.31,0.01,rice
2017,6/22/2018,0.7,0.01,0.6,0.0,rice
2018,6/22/2018,0.14,,0.45,,rice
2020,6/21/2018,-0.01,,0.4,,rice
2024,6/21/2018,0.23,0.03,0.29,0.04,rice
2026,6/20/2018,0.38,0.1,0.5,0.01,rice
2027,6/20/2018,0.38,0.04,0.62,0.02,rice
2032,6/18/2018,-0.8,,1.0,,rice
2033,6/18/2018,-0.05,0.0,0.26,0.01,rice
2036,6/14/2018,0.05,,0.33,,rice
2037,6/13/2018,-0.8,0.21,1.0,0.25,rice
2038,6/13/2018,0.0,,1.0,,rice
2039,6/13/2018,0.0,,0.0,,rice
2042,06-12-2018,0.24,0.01,0.75,0.06,rice
2043,06-12-2018,0.0,,0.0,,rice
2044,06-12-2018,-0.38,0.07,0.62,0.15,rice
2046,06-11-2018,-0.29,0.02,0.63,0.06,rice
2050,06-11-2018,0.14,0.01,0.35,0.0,rice
2052,06-08-2018,0.7,0.02,0.89,0.01,rice
2053,06-08-2018,0.25,0.02,0.55,0.05,rice
2054,06-08-2018,-0.31,,0.69,,rice
2058,06-07-2018,-0.8,0.21,1.0,0.26,rice
2059,06-07-2018,0.18,0.02,0.59,0.0,rice
2061,06-07-2018,0.6,0.2,0.95,0.22,rice
2063,06-06-2018,0.1,0.01,0.57,0.01,rice
2065,06-05-2018,0.09,,0.3,,rice
2066,06-05-2018,0.52,0.14,0.45,0.1,rice
2067,06-05-2018,0.0,,0.1,,rice
2069,06-04-2018,0.15,,0.55,,rice
2071,06-04-2018,-0.05,0.01,0.29,0.0,rice
2073,06-01-2018,0.07,,0.51,,rice
2075,5/31/2018,0.28,0.01,0.81,0.06,rice
2079,5/31/2018,0.3,0.03,1.0,0.12,rice
2083,5/30/2018,-0.11,,0.25,,rice
2085,5/29/2018,0.03,,0.25,,rice
2086,5/29/2018,0.57,0.16,0.73,0.27,rice
2088,5/29/2018,0.2,0.01,0.75,0.06,rice
2091,5/28/2018,-0.04,,0.29,,rice
2092,5/25/2018,-0.15,,0.83,,rice
2093,5/25/2018,0.25,,0.38,,rice
2095,5/25/2018,0.0,,0.0,,rice
2100,5/24/2018,0.05,0.0,0.77,0.08,rice
2101,5/23/2018,-0.31,0.03,0.69,0.06,rice
2103,5/22/2018,0.3,0.01,0.46,0.01,rice
2104,5/22/2018,0.15,,0.27,,rice
2108,5/21/2018,0.06,,0.33,,rice
2109,5/21/2018,0.47,0.2,0.62,0.08,rice
2110,5/21/2018,0.05,0.0,0.26,0.0,rice
2111,5/18/2018,0.0,,0.33,,rice
2119,5/16/2018,0.8,0.12,0.9,0.09,rice
2121,5/16/2018,0.16,0.0,0.55,0.03,rice
2127,5/14/2018,-0.01,,0.28,,rice
2129,05-11-2018,-0.21,,0.61,,rice
2134,05-10-2018,-0.02,,0.35,,rice
2137,05-09-2018,0.3,0.02,0.4,0.01,rice
2145,05-07-2018,0.08,0.01,0.42,0.01,rice
2149,05-04-2018,-0.46,0.05,0.56,0.08,rice
2151,05-03-2018,0.5,,0.89,,rice
2152,05-03-2018,0.0,,0.0,,rice
2155,05-03-2018,0.1,,0.6,,rice
2156,05-03-2018,0.85,0.21,1.0,0.09,rice
2157,05-03-2018,0.12,0.02,0.32,0.0,rice
2160,05-02-2018,0.18,,0.5,,rice
2161,05-01-2018,0.28,,0.67,,rice
2162,05-01-2018,0.19,,0.59,,rice
2164,05-01-2018,0.07,,0.25,,rice
2169,4/30/2018,0.12,0.0,0.35,0.0,rice
2170,4/27/2018,0.4,0.09,0.4,0.04,rice
2172,4/26/2018,-0.48,0.11,0.81,0.01,rice
2173,4/26/2018,0.12,,0.4,,rice
2175,4/25/2018,0.35,,0.3,,rice
2177,4/25/2018,0.18,0.0,0.47,0.01,rice
2182,4/24/2018,0.15,,0.54,,rice
2184,4/23/2018,0.0,,0.0,,rice
2187,4/23/2018,0.43,0.05,0.9,0.13,rice
2188,4/23/2018,0.04,,0.38,,rice
2194,4/19/2018,0.2,0.01,0.47,0.04,rice
2196,4/18/2018,0.07,0.0,0.4,0.02,rice
2198,4/18/2018,-0.2,0.02,0.51,0.0,rice
2199,4/18/2018,0.16,0.0,0.43,0.03,rice
2207,4/16/2018,0.0,,0.0,,rice
2208,4/16/2018,0.1,0.0,0.17,0.01,rice
2209,4/16/2018,-0.28,0.03,0.43,0.02,rice
2212,4/13/2018,0.38,,0.28,,rice
2214,04-12-2018,0.17,,0.35,,rice
2218,04-12-2018,0.31,,0.68,,rice
2219,04-12-2018,0.0,,0.1,,rice
2220,04-11-2018,0.0,,0.0,,rice
2224,04-11-2018,0.0,0.0,0.0,0.0,rice
2226,04-11-2018,-0.12,0.02,0.6,0.04,rice
2228,04-10-2018,0.08,0.0,0.27,0.0,rice
2232,04-10-2018,0.28,0.02,0.59,0.03,rice
2233,04-10-2018,-0.04,,0.59,,rice
2234,04-10-2018,0.1,0.01,0.25,0.03,rice
2235,04-09-2018,0.0,0.0,0.4,0.03,rice
2237,04-09-2018,0.7,0.09,1.0,0.08,rice
2238,04-09-2018,-0.04,0.0,0.3,0.01,rice
2239,04-09-2018,-0.02,0.0,0.29,0.0,rice
2240,04-07-2018,0.16,,0.63,,rice
2241,04-06-2018,0.4,,0.53,,rice
2242,04-06-2018,0.19,,0.57,,rice
2246,04-04-2018,0.12,,0.28,,rice
2247,04-03-2018,0.53,,0.55,,rice
2250,04-02-2018,-0.05,0.0,0.26,0.02,rice
2252,3/30/2018,0.5,0.12,0.5,0.12,rice
2255,3/29/2018,0.0,,0.25,,rice
2256,3/29/2018,0.42,0.0,0.78,0.0,rice
2258,3/29/2018,0.05,,0.28,,rice
2260,3/28/2018,0.14,0.01,0.34,0.06,rice
2261,3/28/2018,0.1,0.0,0.13,0.0,rice
2265,3/26/2018,0.11,0.01,0.3,0.0,rice
2268,3/23/2018,0.0,,0.12,,rice
2271,3/21/2018,0.23,0.02,0.54,0.05,rice
2272,3/21/2018,-0.07,,0.03,,rice
2277,3/21/2018,0.25,,0.5,,rice
2279,3/20/2018,0.22,0.04,0.59,0.01,rice
2283,3/20/2018,0.28,0.03,0.67,0.08,rice
2285,3/19/2018,0.1,,1.0,,rice
2286,3/16/2018,-0.15,0.01,0.68,0.05,rice
2287,3/16/2018,0.0,,0.3,,rice
2291,3/14/2018,0.5,0.16,0.5,0.03,rice
2294,3/14/2018,0.2,0.02,0.5,0.06,rice
2295,3/14/2018,0.16,0.04,0.62,0.08,rice
2298,03-12-2018,-0.03,0.0,0.23,0.03,rice
2301,03-12-2018,-0.12,0.01,0.39,0.0,rice
2302,03-12-2018,0.35,0.08,0.45,0.0,rice
2303,03-12-2018,-0.02,,0.25,,rice
2308,03-09-2018,-0.23,0.03,0.47,0.11,rice
2310,03-08-2018,0.02,,0.19,,rice
2312,03-08-2018,0.2,0.02,0.4,0.08,rice
2313,03-08-2018,-0.25,0.02,0.25,0.0,rice
2317,03-07-2018,0.19,0.02,0.48,0.03,rice
2319,03-06-2018,0.25,0.03,0.5,0.12,rice
2323,03-05-2018,-0.01,0.0,0.25,0.0,rice
2325,03-02-2018,1.0,0.11,0.9,0.05,rice
2330,03-01-2018,0.25,0.0,0.85,0.21,rice
2331,03-01-2018,-0.35,0.05,0.65,0.03,rice
2332,03-01-2018,0.38,0.07,0.74,0.11,rice
2333,2/28/2018,-0.2,0.01,0.4,0.05,rice
2335,2/28/2018,-0.15,0.01,0.2,0.01,rice
2336,2/27/2018,-0.25,0.05,0.75,0.05,rice
2345,2/26/2018,0.0,,0.3,,rice
2346,2/26/2018,0.08,,0.25,,rice
2348,2/23/2018,0.14,0.0,0.5,0.06,rice
2349,2/23/2018,0.12,,0.38,,rice
2351,2/23/2018,-0.17,0.01,0.4,0.04,rice
2353,2/22/2018,0.07,0.0,0.51,0.0,rice
2354,2/22/2018,0.7,0.09,0.77,0.06,rice
2359,2/22/2018,-0.21,0.03,0.36,0.0,rice
2360,2/22/2018,0.25,0.01,0.61,0.02,rice
2366,2/20/2018,-0.07,0.0,0.21,0.02,rice
2367,2/20/2018,0.06,0.0,0.5,0.0,rice
2369,2/19/2018,0.5,0.03,0.5,0.03,rice
2370,2/19/2018,-0.02,0.0,0.24,0.0,rice
2372,2/16/2018,-0.62,0.22,0.8,0.05,rice
2375,2/16/2018,-0.02,,0.48,,rice
2378,2/16/2018,-0.03,,0.23,,rice
2379,2/15/2018,0.1,0.0,0.4,0.02,rice
2382,2/15/2018,-0.02,,0.25,,rice
2386,2/14/2018,0.0,0.0,0.25,0.03,rice
2388,2/14/2018,0.17,0.01,0.4,0.03,rice
2391,2/13/2018,0.25,0.02,0.45,0.03,rice
2393,2/13/2018,-0.03,,0.35,,rice
2397,02-12-2018,0.6,0.1,0.68,0.06,rice
2400,02-08-2018,0.02,0.0,0.2,0.02,rice
2401,02-08-2018,0.15,,0.05,,rice
2402,02-08-2018,-0.02,,0.24,,rice
2407,02-07-2018,0.17,0.02,0.34,0.0,rice
2409,02-07-2018,-0.1,0.01,0.4,0.02,rice
2410,02-06-2018,0.3,0.04,0.5,0.02,rice
2412,02-06-2018,0.0,0.0,0.3,0.04,rice
2413,02-06-2018,0.2,,0.45,,rice
2414,02-05-2018,0.45,0.08,0.4,0.01,rice
2415,02-05-2018,-0.03,0.0,0.29,0.02,rice
2418,02-02-2018,0.1,,0.38,,rice
2423,02-01-2018,0.39,,0.49,,rice
2426,02-01-2018,-0.07,0.0,0.38,0.06,rice
2429,1/31/2018,0.3,,0.4,,rice
2434,1/31/2018,0.03,,0.41,,rice
2439,1/29/2018,-0.28,,0.56,,rice
2440,1/29/2018,-0.04,0.0,0.27,0.0,rice
2443,1/26/2018,0.38,0.07,0.5,0.12,rice
2446,1/25/2018,-0.15,0.01,0.35,0.0,rice
2448,1/25/2018,0.0,,0.0,,rice
2452,1/24/2018,-0.29,0.05,0.79,0.04,rice
2454,1/24/2018,0.0,,0.0,,rice
2455,1/24/2018,0.1,0.01,0.35,0.06,rice
2460,1/22/2018,0.1,0.01,0.27,0.0,rice
2461,1/21/2018,0.8,,0.7,,rice
2464,1/18/2018,-0.02,0.0,0.52,0.11,rice
2467,1/17/2018,0.62,0.18,0.55,0.08,rice
2468,1/17/2018,0.2,0.02,0.44,0.1,rice
2469,1/17/2018,0.0,,0.0,,rice
2470,1/16/2018,-0.05,,0.78,,rice
2472,1/15/2018,0.0,0.0,0.18,0.02,rice
2473,1/15/2018,-0.03,0.0,0.25,0.01,rice
2475,01-12-2018,0.12,0.0,0.5,0.02,rice
2479,01-11-2018,0.0,0.0,0.75,0.28,rice
2484,01-10-2018,0.0,0.0,0.3,0.04,rice
2485,01-10-2018,0.03,,0.2,,rice
2486,01-09-2018,0.7,,0.9,,rice
2489,01-09-2018,0.0,,0.0,,rice
2491,01-08-2018,0.04,,0.25,,rice
2496,01-08-2018,-0.03,,0.34,,rice
2502,01-04-2018,0.2,,0.51,,rice
2506,01-03-2018,-0.07,0.0,0.78,0.14,rice
2509,01-02-2018,-0.2,0.01,0.54,0.06,rice
2512,12/29/2017,0.06,,0.31,,rice
2514,12/29/2017,0.4,0.02,0.75,0.0,rice
2515,12/28/2017,-0.05,,0.58,,rice
2516,12/28/2017,-0.28,0.03,0.65,0.02,rice
2519,12/26/2017,0.07,,0.19,,rice
2523,12/21/2017,-0.24,,0.34,,rice
2524,12/20/2017,0.06,0.0,0.3,0.02,rice
2525,12/20/2017,0.27,,0.35,,rice
2526,12/20/2017,-0.12,0.01,0.43,0.0,rice
2527,12/19/2017,0.5,0.12,0.5,0.12,rice
2528,12/19/2017,0.08,,0.33,,rice
2531,12/19/2017,-0.15,,0.45,,rice
2534,12/18/2017,-0.28,,0.75,,rice
2535,12/18/2017,0.07,0.0,0.58,0.02,rice
2536,12/15/2017,0.25,0.02,0.58,0.0,rice
2539,12/14/2017,0.03,,0.29,,rice
2540,12/13/2017,0.35,0.22,0.69,0.01,rice
2542,12/13/2017,-0.21,0.0,0.54,0.01,rice
2545,12-12-2017,0.6,0.1,1.0,0.18,rice
2549,12-11-2017,0.23,,0.4,,rice
2552,12-11-2017,0.1,0.01,0.26,0.0,rice
2554,12-08-2017,0.17,0.01,0.46,0.02,rice
2557,12-07-2017,0.02,0.0,0.25,0.0,rice
2559,12-06-2017,-0.16,,0.38,,rice
2561,12-06-2017,0.03,,0.17,,rice
2565,12-04-2017,0.49,0.07,0.45,0.06,rice
2568,12-04-2017,-0.05,0.0,0.35,0.01,rice
2570,12-01-2017,-0.31,0.07,0.69,0.04,rice
2572,11/30/2017,0.47,,0.63,,rice
2575,11/29/2017,0.0,,0.55,,rice
2577,11/28/2017,0.0,,0.0,,rice
2580,11/28/2017,-0.01,,0.24,,rice
2582,11/27/2017,-0.7,0.15,0.67,0.03,rice
2583,11/27/2017,0.0,0.0,0.48,0.04,rice
2585,11/27/2017,-0.08,0.0,0.63,0.06,rice
2590,11/22/2017,0.17,,0.49,,rice
2591,11/21/2017,-0.8,0.28,1.0,0.09,rice
2593,11/21/2017,0.07,,0.52,,rice
2594,11/20/2017,0.0,,0.16,,rice
2598,11/20/2017,0.42,0.05,0.3,0.02,rice
2603,11/16/2017,-0.12,0.0,0.53,0.01,rice
2606,11/15/2017,0.02,,0.17,,rice
2607,11/15/2017,0.3,0.04,0.62,0.02,rice
2610,11/14/2017,-0.02,0.0,0.18,0.0,rice
2618,11-10-2017,-0.17,0.04,0.4,0.05,rice
2620,11-09-2017,0.42,0.07,0.75,0.07,rice
2623,11-09-2017,0.3,0.0,0.62,0.02,rice
2625,11-08-2017,0.14,,0.06,,rice
2627,11-08-2017,-0.2,0.03,0.58,0.07,rice
2628,11-08-2017,-0.05,,0.38,,rice
2631,11-07-2017,-0.04,,0.41,,rice
2633,11-06-2017,-0.05,,0.33,,rice
2635,11-03-2017,0.49,,0.81,,rice
2642,11-01-2017,0.5,0.16,0.5,0.0,rice
2647,11-01-2017,0.12,0.01,0.63,0.02,rice
2653,10/30/2017,-0.06,,0.19,,rice
2654,10/30/2017,0.14,,0.52,,rice
2656,10/30/2017,-0.0,0.0,0.31,0.01,rice
2659,10/26/2017,0.2,,0.66,,rice
2660,10/26/2017,0.6,0.11,0.95,0.11,rice
2661,10/25/2017,-0.24,0.09,0.48,0.0,rice
2664,10/25/2017,0.6,0.19,0.95,0.05,rice
2665,10/24/2017,1.0,0.16,0.47,0.03,rice
2669,10/23/2017,0.22,0.02,0.49,0.02,rice
2670,10/20/2017,0.0,,0.0,,rice
2675,10/20/2017,0.32,0.05,0.45,0.1,rice
2676,10/19/2017,0.2,0.01,0.53,0.05,rice
